Gender,School,Track,PUPCET,SHS GPA,GWAcat
0,0,1,80,94.8,4
1,1,1,110,96.28,3
1,1,1,108,94.22,3
1,1,1,98,91.88,2
1,0,1,104,93,3
1,0,1,86,91,3
1,1,1,79,95.35,2
1,1,1,83,88.5,3
0,0,1,92,92,3
0,1,1,96,94.38,3
1,0,1,82,95,3
1,0,1,80,84,4
0,1,1,105,89,3
0,0,1,87,90.88,3
0,0,1,110,92,3
1,0,1,89,94,3
1,0,1,103,93,3
0,0,1,79,93.01,3
0,1,0,94,93.87,3
0,1,0,82,96.5,2
0,1,1,105,92,4
0,1,1,79,86.75,3
0,0,0,79,92.02,2
0,1,1,79,95,4
0,1,1,94,95,2
0,0,0,91,93.68,3
0,0,0,90,95.5,3
0,1,0,89,95,3
0,1,0,91,94.38,2
1,1,1,90,95.5,4
0,1,0,100,94,3
0,0,0,90,88.35,3
0,1,1,87,93,3
1,1,1,110,94,2
0,0,1,98,94,3
0,1,1,84,92.63,3
0,0,1,83,96,3
0,0,1,96,93,3
1,0,1,92,96,2
1,1,1,81,92,2
1,0,1,119,89,3
0,1,1,79,94.38,4
1,1,1,98,93.88,3
0,1,1,101,95.11,2
0,1,1,93,93.87,3
1,1,1,108,90,3
0,1,1,83,94,3
0,0,1,82,93,3
1,0,1,106,90.72,3
1,0,1,93,82,3
0,1,0,90,92.75,4
1,1,1,83,94.25,3
0,0,1,95,82,4
1,1,1,107,93,3
0,1,1,93,95.33,3
0,0,1,90,91,3
0,1,1,91,91,3
0,1,1,83,92.62,4
1,0,1,88,95,3
0,1,1,84,91.25,4
0,0,1,88,93,3
1,0,1,85,92,3
0,1,1,98,94.5,3
0,1,1,110,94.38,2
0,1,1,81,92,3
1,1,1,83,95.08,3
0,1,1,95,92.5,4
0,0,1,79,95,4
1,0,1,96,93.92,3
0,1,1,96,93.75,3
0,0,1,88,92.86,3
1,1,1,95,82,2
0,0,1,80,91,3
1,0,1,94,91,3
0,1,1,94,94,3
0,1,1,92,88.25,4
0,1,1,97,89,2
1,0,1,101,93,2
1,1,1,91,92,3
0,1,1,86,94,3
1,1,1,102,95,2
0,0,1,103,95,2
1,1,1,120,94,2
0,0,0,82,92,2
0,0,1,96,82,4
1,1,1,84,92.25,3
1,1,1,86,93.25,3
0,1,1,79,94,3
0,1,1,113,90.5,2
0,1,1,81,95.12,2
0,0,1,91,91,3
0,1,1,89,90,4
0,0,1,75,95,4
0,1,1,83,93.5,3
1,0,1,89,94,3
0,0,1,96,94,4
0,1,1,101,94,2
1,0,1,87,92,3
0,1,1,101,93.12,3
0,0,1,80,82,3
1,1,1,99,92,4
0,0,1,96,92,3
0,1,1,94,91,2
0,0,1,81,87.74,3
0,1,1,88,95,3
1,1,1,85,90.19,3
0,1,1,89,90,4
0,1,1,84,96.25,2
0,0,1,80,90,3
0,0,1,92,82,3
0,0,1,86,92,3
1,1,1,103,96,3
1,1,1,88,93,3
0,1,1,96,94,4
0,0,1,84,91,3
1,1,1,105,94,3
1,1,1,91,93,3
0,0,1,82,92.5,3
0,0,1,93,90.5,3
1,1,1,104,93,3
0,1,1,86,90.47,3
1,1,1,82,93,3
1,1,0,82,98,2
1,0,1,80,90.63,3
1,0,1,93,98.5,2
1,1,1,89,90.94,3
0,1,1,94,94.25,3
1,1,1,79,94,4
1,1,1,114,93,4
1,0,1,79,94,3
0,0,1,81,90,3
0,1,1,99,93.12,3
1,0,1,81,97,3
1,1,1,79,90.12,4
1,1,0,84,96.25,3
0,1,1,82,90.5,3
0,1,1,83,90.1,3
0,1,1,101,95.97,2
1,1,1,82,91.25,3
1,1,1,94,92.94,3
0,1,1,94,93.71,3
0,1,1,105,89,4
0,0,1,95,92.5,4
0,0,1,82,86,3
0,0,1,85,82,3
0,1,1,66,92,2
1,1,1,97,93,3
0,0,1,80,95.38,3
1,0,0,112,95,3
1,0,0,107,82,2
0,0,0,93,93.25,3
0,1,1,107,95,2
0,1,1,112,94.88,2
1,0,1,87,88,4
1,0,1,83,86,3
0,0,1,81,82,3
1,0,1,106,84,4
1,1,1,88,92,3
0,0,1,89,95.5,3
0,0,1,87,94,3
1,1,1,103,93,4
0,0,1,87,90,3
0,1,1,85,90.88,3
0,1,1,102,94,3
1,1,1,95,94,3
0,1,1,84,94,3
0,1,1,79,90.56,3
0,1,1,86,88.62,3
0,1,1,93,94.56,3
0,0,1,81,82,3
0,1,1,86,92.75,5
0,0,1,99,97,3
0,0,1,95,95,3
0,0,1,89,93,2
0,0,1,80,91,3
1,1,1,91,93,3
0,1,1,90,94.17,3
0,1,0,85,95,3
0,1,1,92,90.2,3
1,1,1,91,91,3
0,0,1,92,92.94,2
0,0,0,84,95.5,4
0,1,1,80,92,3
1,1,1,86,87,3
0,0,1,81,95,3
0,0,0,80,94,3
0,1,1,95,96,3
0,1,1,81,95,2
1,0,1,93,90,4
1,1,1,106,90,3
0,1,1,106,94,3
1,1,1,83,93,4
0,1,1,91,95.5,2
0,0,0,79,96,3
0,1,1,101,93.37,3
0,0,1,94,94,3
1,1,1,91,94,3
0,0,1,103,87.45,3
1,1,1,87,94.5,4
0,0,1,103,90.3,3
0,0,1,91,82,3
1,0,1,83,82,3
1,1,0,75,92,2
1,1,1,107,92,3
0,1,1,93,95.62,2
0,1,1,89,94,3
0,1,1,91,93,3
0,1,1,96,95,3
0,1,1,87,90.69,3
0,1,1,90,90.88,3
1,1,1,111,94.74,2
0,0,1,85,87,3
0,1,0,84,91.75,3
0,0,0,91,90.75,3
0,0,0,99,94.77,3
1,1,1,89,89.31,5
1,0,1,95,90.48,3
0,1,1,96,95,3
0,1,1,86,92.5,3
0,1,1,85,90,3
0,1,1,79,94.25,3
0,1,1,96,94.5,4
1,1,1,91,82,3
0,1,0,81,96,3
0,0,1,100,88,4
0,1,1,86,88.5,3
1,0,1,80,88,4
0,0,1,78,89.5,4
1,1,0,82,90,3
1,1,1,96,91,2
1,0,1,96,94,4
0,1,0,79,92.5,4
0,1,1,91,91.88,3
0,1,1,84,88,5
0,1,1,107,90,2
0,1,0,77,82,4
1,0,1,82,82.6,4
0,0,1,94,92,3
1,1,1,82,82,4
1,0,1,83,85,4
0,1,1,82,91,3
0,1,1,108,92,2
0,1,0,80,95,3
0,1,1,85,92.38,3
0,1,1,91,92.25,2
0,1,1,84,92.38,3
0,0,0,81,96,3
1,1,1,80,92,4
1,0,1,89,91.2,4
1,0,1,91,92.25,4
1,0,1,102,91.5,3
1,0,1,87,94.13,2
1,0,1,90,90,4
0,1,1,95,93.12,3
1,0,1,93,91.75,3
1,1,1,83,89.06,3
1,1,1,80,93,3
1,0,1,101,94,2
0,1,1,97,95,3
0,1,1,79,92.94,3
0,0,1,89,91,4
1,0,1,88,94.77,3
1,1,1,96,82,3
1,0,1,118,94,3
1,1,0,82,97,3
1,0,1,93,93.3,4
1,1,1,94,93,3
0,0,1,82,93.6,3
1,1,1,89,89,3
1,1,1,82,92.38,3
0,1,1,94,91,2
1,0,1,88,91,4
0,1,1,97,88,3
0,1,1,99,94,4
1,1,1,99,92.46,3
1,1,1,89,93,4
